# [FABLE-5] sq-iwulr GOLDEN truth-table: the WKT corpus (gid\tWKT)
# Captured OFFLINE by bench/geo/function-golden/capture.py — DO NOT regenerate in CI.
# Oracle: GEOS 3.13.1 via shapely 2.1.2 (planar/Cartesian over lon-lat coordinates, CRS84).
# Captured: 2026-07-12
pt_a	POINT(2 2)
pt_far	POINT(40 40)
pt_edge	POINT(0 5)
pt_corner	POINT(10 10)
line_diag	LINESTRING(-5 -5, 5 5)
line_horiz	LINESTRING(-10 2, 10 2)
line_vert	LINESTRING(0 -5, 0 5)
line_edge	LINESTRING(0 0, 10 0)
line_far	LINESTRING(30 30, 40 40)
sq_big	POLYGON((0 0, 10 0, 10 10, 0 10, 0 0))
sq_small	POLYGON((2 2, 4 2, 4 4, 2 4, 2 2))
sq_overlap	POLYGON((5 5, 15 5, 15 15, 5 15, 5 5))
sq_touch	POLYGON((10 0, 20 0, 20 10, 10 10, 10 0))
sq_corner	POLYGON((10 10, 12 10, 12 12, 10 12, 10 10))
sq_far	POLYGON((30 0, 35 0, 35 5, 30 5, 30 0))
sq_equal	POLYGON((10 0, 10 10, 0 10, 0 0, 10 0))
poly_hole	POLYGON((0 0, 20 0, 20 20, 0 20, 0 0), (5 5, 15 5, 15 15, 5 15, 5 5))
mpt	MULTIPOINT((1 1), (11 11))
mline	MULTILINESTRING((-5 -5, 5 5), (20 20, 25 25))
mpoly	MULTIPOLYGON(((0 0, 3 0, 3 3, 0 3, 0 0)), ((5 5, 8 5, 8 8, 5 8, 5 5)))
