# [FABLE-5] (sq-hmd7l.20) Pinned timestamped replay — the EXPORTED copy of the fixed
# SRBench-shaped (stream, triple, ts) script in crates/sparq-rsp/examples/rsp_oracle.rs
# (fn srbench_script): an observations stream (<station> <value> v) and a station-metadata
# stream (<station> <state> <usstate>, re-announced each window), joined per synchronized
# tumbling RANGE 10 STEP 10 window. This is the "identical timestamped replay" the bounded
# count-matched-replay protocol (research/comparative-benchmarking-everything.md sec 5.2)
# feeds to external RSP engines (RSP4J/YASPER). Events are sorted by ts (ascending);
# same-ts events keep the in-code script order.
#
# FIDELITY GUARD: bench/rsp/test_rsp4j_compare.py re-derives the per-window join row
# counts from THIS file and asserts them against bench/rsp/expected.tsv (see the note in
# single_window.ts.tsv for the guard's count-structural scope).
#
# Columns: <ts>\t<stream-iri>\t<subject>\t<predicate>\t<object>   (N-Triples term syntax)
0	<http://ex/meta>	<http://ex/stA>	<http://ex/state>	<http://ex/NY>
0	<http://ex/meta>	<http://ex/stB>	<http://ex/state>	<http://ex/NY>
0	<http://ex/meta>	<http://ex/stC>	<http://ex/state>	<http://ex/CA>
1	<http://ex/obs>	<http://ex/stA>	<http://ex/value>	"12"^^<http://www.w3.org/2001/XMLSchema#integer>
3	<http://ex/obs>	<http://ex/stB>	<http://ex/value>	"15"^^<http://www.w3.org/2001/XMLSchema#integer>
7	<http://ex/obs>	<http://ex/stC>	<http://ex/value>	"20"^^<http://www.w3.org/2001/XMLSchema#integer>
10	<http://ex/meta>	<http://ex/stA>	<http://ex/state>	<http://ex/NY>
10	<http://ex/meta>	<http://ex/stB>	<http://ex/state>	<http://ex/NY>
10	<http://ex/meta>	<http://ex/stC>	<http://ex/state>	<http://ex/CA>
12	<http://ex/obs>	<http://ex/stA>	<http://ex/value>	"11"^^<http://www.w3.org/2001/XMLSchema#integer>
18	<http://ex/obs>	<http://ex/stC>	<http://ex/value>	"25"^^<http://www.w3.org/2001/XMLSchema#integer>
20	<http://ex/meta>	<http://ex/stA>	<http://ex/state>	<http://ex/NY>
20	<http://ex/meta>	<http://ex/stB>	<http://ex/state>	<http://ex/NY>
20	<http://ex/meta>	<http://ex/stC>	<http://ex/state>	<http://ex/CA>
21	<http://ex/obs>	<http://ex/stA>	<http://ex/value>	"9"^^<http://www.w3.org/2001/XMLSchema#integer>
22	<http://ex/obs>	<http://ex/stA>	<http://ex/value>	"9"^^<http://www.w3.org/2001/XMLSchema#integer>
24	<http://ex/obs>	<http://ex/stZ>	<http://ex/value>	"99"^^<http://www.w3.org/2001/XMLSchema#integer>
28	<http://ex/obs>	<http://ex/stC>	<http://ex/value>	"30"^^<http://www.w3.org/2001/XMLSchema#integer>
35	<http://ex/obs>	<http://ex/stA>	<http://ex/value>	"1"^^<http://www.w3.org/2001/XMLSchema#integer>
