# stale dependency edges EXCLUDED from the conforming ingest
# (a depends_on b, but b is CLOSED while a is not) — guardrail-caught
dependent	closed_blocker
sq-0wo9e.6	sq-0wo9e.1
sq-38zk	sq-rrz4
sq-4gju	sq-8thu
sq-6v53	sq-2mke
sq-96o1	sq-atb0
sq-axky	sq-sxso
sq-bjl	sq-7leq
sq-bjl	sq-pwr.1
sq-bjl	sq-z9l
sq-evb1	sq-wmeg
sq-f7bu	sq-7leq
sq-f7bu	sq-9hrn
sq-gji9	sq-gbq0
sq-hoaj	sq-tg6b
sq-im8u	sq-h0tr
sq-im8u	sq-9jw5
sq-ixc3.11	sq-ixc3.9
sq-ixc3.12	sq-ixc3.9
sq-ixc3.13	sq-ixc3.9
sq-j506	sq-1s2.2
sq-j5ok	sq-mq8q
sq-j5ok	sq-a6p1
sq-km34.2	sq-km34.1
sq-km34.3	sq-dvuc
sq-km34.3	sq-km34.1
sq-km34.4	sq-km34.1
sq-km34.5	sq-km34.1
sq-km34.6	sq-rrz4
sq-km34.6	sq-km34.1
sq-lii76	sq-4296
sq-lyp8	sq-n5aw
sq-mslu	sq-1s2.2
sq-na0q	sq-uw40
sq-ox16	sq-mq8q
sq-pfae.2	sq-pfae.1
sq-pfae.3	sq-pfae.1
sq-pfae.5	sq-pfae.1
sq-pyn7	sq-quly
sq-r6dq	sq-hwe
sq-sg37	sq-i1dt
sq-sg37	sq-c2ql
sq-shk5	sq-jnkm
sq-tp1m	sq-atb0
sq-uii0	sq-bwwl
sq-ujz8	sq-18lk
sq-v286.7	sq-v286.4
sq-v286.8	sq-v286.6
sq-var9	sq-pnnl
sq-var9	sq-2e93
sq-vbq9	sq-h0tr
sq-vnd0i	sq-ixc3.8
sq-vw3ax.4	sq-vw3ax.3
sq-w9sr	sq-9jw5
sq-xvj9	sq-l5kr
sq-zeai	sq-2e93
