subsystem	threads	best_ms	speedup	efficiency
load	1	50787.9	1.00	1.00
load	2	32956.0	1.54	0.77
load	4	27853.8	1.82	0.46
load	8	28176.7	1.80	0.23
q02_type_person	1	436.9	1.00	1.00
q02_type_person	2	285.9	1.53	0.76
q02_type_person	4	273.8	1.60	0.40
q02_type_person	8	260.4	1.68	0.21
q03_star3	1	2843.4	1.00	1.00
q03_star3	2	1440.6	1.97	0.99
q03_star3	4	1205.8	2.36	0.59
q03_star3	8	1128.8	2.52	0.31
q04_follows_name	1	9287.8	1.00	1.00
q04_follows_name	2	7011.1	1.32	0.66
q04_follows_name	4	5974.0	1.55	0.39
q04_follows_name	8	5322.3	1.75	0.22
q06_filter_age	1	115.7	1.00	1.00
q06_filter_age	2	86.5	1.34	0.67
q06_filter_age	4	125.3	0.92	0.23
q06_filter_age	8	105.9	1.09	0.14
q09_count_edges	1	1.6	1.00	1.00
q09_count_edges	2	0.2	8.72	4.36
q09_count_edges	4	0.1	13.80	3.45
q09_count_edges	8	0.1	21.31	2.66
q10_optional_age	1	1679.1	1.00	1.00
q10_optional_age	2	1107.1	1.52	0.76
q10_optional_age	4	932.9	1.80	0.45
q10_optional_age	8	1350.4	1.24	0.16
