subsystem	threads	best_ms	speedup	efficiency
load	1	12472.6	1.00	1.00
load	2	8923.3	1.40	0.70
load	4	7228.9	1.73	0.43
load	8	6559.6	1.90	0.24
q02_type_person	1	162.0	1.00	1.00
q02_type_person	2	132.9	1.22	0.61
q02_type_person	4	119.3	1.36	0.34
q02_type_person	8	126.1	1.28	0.16
q03_star3	1	1083.2	1.00	1.00
q03_star3	2	776.8	1.39	0.70
q03_star3	4	566.1	1.91	0.48
q03_star3	8	533.1	2.03	0.25
q04_follows_name	1	3427.6	1.00	1.00
q04_follows_name	2	2255.5	1.52	0.76
q04_follows_name	4	1614.7	2.12	0.53
q04_follows_name	8	1473.7	2.33	0.29
q06_filter_age	1	53.4	1.00	1.00
q06_filter_age	2	36.7	1.45	0.73
q06_filter_age	4	27.4	1.95	0.49
q06_filter_age	8	25.1	2.13	0.27
q09_count_edges	1	0.0	1.00	1.00
q09_count_edges	2	0.0	1.47	0.74
q09_count_edges	4	0.0	0.81	0.20
q09_count_edges	8	0.0	1.47	0.18
q10_optional_age	1	858.2	1.00	1.00
q10_optional_age	2	554.3	1.55	0.77
q10_optional_age	4	414.5	2.07	0.52
q10_optional_age	8	375.9	2.28	0.29
