subsystem	threads	best_ms	speedup	efficiency
load	1	13423.1	1.00	1.00
load	2	9313.4	1.44	0.72
load	4	7409.0	1.81	0.45
load	8	6731.8	1.99	0.25
q02_type_person	1	180.6	1.00	1.00
q02_type_person	2	148.4	1.22	0.61
q02_type_person	4	132.5	1.36	0.34
q02_type_person	8	129.8	1.39	0.17
q03_star3	1	1145.6	1.00	1.00
q03_star3	2	774.3	1.48	0.74
q03_star3	4	622.2	1.84	0.46
q03_star3	8	585.6	1.96	0.24
q04_follows_name	1	3342.7	1.00	1.00
q04_follows_name	2	2320.8	1.44	0.72
q04_follows_name	4	1745.1	1.92	0.48
q04_follows_name	8	1635.3	2.04	0.26
q06_filter_age	1	52.6	1.00	1.00
q06_filter_age	2	36.8	1.43	0.71
q06_filter_age	4	31.2	1.69	0.42
q06_filter_age	8	25.4	2.07	0.26
q09_count_edges	1	0.0	1.00	1.00
q09_count_edges	2	0.0	1.09	0.54
q09_count_edges	4	0.0	0.73	0.18
q09_count_edges	8	0.0	0.72	0.09
q10_optional_age	1	852.0	1.00	1.00
q10_optional_age	2	607.2	1.40	0.70
q10_optional_age	4	456.4	1.87	0.47
q10_optional_age	8	405.0	2.10	0.26
